Year,Day,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100
1,1,1001324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,998806,297,99,39,13,0,0,0,0,0,0,7,17,2,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,998276,626,231,49,28,0,0,0,0,0,0,7,16,10,16,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,998705,585,216,65,32,0,0,0,0,0,286,20,12,14,13,0,0,0,0,0,127,9,4,4,0,0,0,0,0,0,41,5,1,0,0,0,0,0,0,0,27,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,997949,563,237,66,27,0,0,0,0,0,565,16,23,16,14,0,0,0,0,0,196,12,5,6,1,0,0,0,0,0,82,22,1,0,0,0,0,0,0,0,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,6,34016,19,1,3,1,0,0,0,0,0,229771,172732,2820,198,43,3,0,0,0,0,81684,234111,30738,2717,19,10,0,0,0,0,25530,85273,44093,9817,24,5,1,0,0,0,11312,35587,81,29,7,1,0,0,0,0,13,62,27,10,0,0,0,0,0,0,0,29,14,4,2,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7,34093,151,151,131,56,7,0,0,0,0,228590,171928,3000,295,98,3,3,0,0,0,81484,234223,30613,2973,87,22,2,0,0,0,25849,85402,43522,10030,76,22,5,0,0,0,11062,35367,142,40,20,6,0,0,0,0,19,69,28,13,0,0,0,0,0,0,0,19,12,6,1,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,8,34083,255,289,178,111,9,0,0,0,0,228394,172474,3260,439,160,15,2,0,0,0,81515,234264,30709,3149,146,58,8,0,0,0,25353,84780,43996,10056,108,35,5,0,0,0,11048,35081,193,42,20,6,0,0,0,0,11,69,29,5,3,0,0,0,0,0,0,24,16,3,0,0,0,0,0,0,0,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,9,1178,7849,3022,1259,957,219,11,1,0,1,6125,74495,69714,24753,9718,2655,130,39,0,0,1658,63850,155480,96133,35785,11131,749,85,2,3,424,19791,86154,102366,49679,16446,2337,262,15,8,168,7242,30151,39946,33041,11813,2770,384,10,3,1,470,3834,9380,8799,3596,489,17,2,1,0,6,132,811,1370,321,100,5,0,0,0,0,6,52,127,8,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,10,1182,7639,2961,1333,933,210,9,0,0,1,6040,74343,69704,24708,9539,2498,114,22,5,0,1707,63364,156865,95026,35829,10851,742,68,5,0,430,20124,86193,103047,50011,16218,2382,248,6,4,182,7265,30552,39725,33076,11908,2780,336,14,1,7,514,3920,9570,8806,3604,518,24,5,0,5,19,171,797,1386,354,117,7,2,0,0,3,7,61,108,13,8,0,0,0,0,0,2,1,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
1,11,46,210,79,31,8,3,0,0,0,0,485,4789,3900,1314,711,174,9,0,0,0,1403,22133,39528,20824,7137,2164,198,12,0,2,783,21127,78713,79182,34608,10762,1451,127,3,0,404,10499,60017,104063,69898,25457,5081,510,22,3,267,4547,29338,67974,69028,35238,9861,1409,118,4,87,1506,10592,29833,38195,26135,9553,1743,190,8,16,328,2589,8566,13550,11248,5316,1327,217,14,4,67,443,1574,2678,3135,1570,484,67,2,0,2,34,133,376,479,261,71,14,0
